beta,y2,curvature,n_mc,n_valid,n_fail,p_reconciled_better
0.0,-1.01,0.03784738118588884,1000,1000,0,0.967
0.0,1.01,0.03784738118588884,1000,1000,0,0.978
0.0,-1.0,0.04152249134948097,1000,1000,0,0.968
0.0,1.0,0.04152249134948097,1000,1000,0,0.976
0.0,-0.06,0.04319993550281783,1000,1000,0,0.857
0.0,0.06,0.04319993550281783,1000,1000,0,0.878
0.0,-0.99,0.045578645822079836,1000,1000,0,0.967
0.0,0.99,0.045578645822079836,1000,1000,0,0.97
0.0,-0.98,0.05005680352147241,1000,1000,0,0.958
0.0,0.98,0.05005680352147241,1000,1000,0,0.975
0.0,-0.97,0.05500228386285701,1000,1000,0,0.96
0.0,0.97,0.05500228386285701,1000,1000,0,0.957
0.0,-0.07,0.05879977863226665,1000,1000,0,0.872
0.0,0.07,0.05879977863226665,1000,1000,0,0.886
0.0,-0.96,0.06046518461134927,1000,1000,0,0.957
0.0,0.96,0.06046518461134927,1000,1000,0,0.963
0.0,-0.95,0.06650082480906248,1000,1000,0,0.943
0.0,0.95,0.06650082480906248,1000,1000,0,0.967
0.0,-0.94,0.07317020981432597,1000,1000,0,0.964
0.0,0.94,0.07317020981432597,1000,1000,0,0.96
0.0,-0.08,0.07679935575895884,1000,1000,0,0.882
0.0,0.08,0.07679935575895884,1000,1000,0,0.858
0.0,-0.93,0.08054051383851042,1000,1000,0,0.927
0.0,0.93,0.08054051383851042,1000,1000,0,0.933
0.0,-0.92,0.08868557328277528,1000,1000,0,0.935
0.0,0.92,0.08868557328277528,1000,1000,0,0.945
0.0,-0.09,0.09719834702699662,1000,1000,0,0.872
0.0,0.09,0.09719834702699662,1000,1000,0,0.868
0.0,-0.91,0.09768638158746905,1000,1000,0,0.919
0.0,0.91,0.09768638158746905,1000,1000,0,0.948
0.0,-0.9,0.10763157313187557,1000,1000,0,0.923
0.0,0.9,0.10763157313187557,1000,1000,0,0.935
0.0,-0.89,0.11861787988279328,1000,1000,0,0.917
0.0,0.89,0.11861787988279328,1000,1000,0,0.932
0.0,-0.1,0.11999616009215804,1000,1000,0,0.876
0.0,0.1,0.11999616009215804,1000,1000,0,0.863
0.0,-0.88,0.1307505399148652,1000,1000,0,0.918
0.0,0.88,0.1307505399148652,1000,1000,0,0.908
0.0,-0.87,0.14414363155688628,1000,1000,0,0.919
0.0,0.87,0.14414363155688628,1000,1000,0,0.92
0.0,-0.11,0.14519176896893382,1000,1000,0,0.87
0.0,0.11,0.14519176896893382,1000,1000,0,0.867
0.0,-0.86,0.15892030072772242,1000,1000,0,0.892
0.0,0.86,0.15892030072772242,1000,1000,0,0.912
0.0,-0.12,0.17278348988605746,1000,1000,0,0.857
0.0,0.12,0.17278348988605746,1000,1000,0,0.857
0.0,-0.85,0.17521284202890733,1000,1000,0,0.908
0.0,0.85,0.17521284202890733,1000,1000,0,0.908
